Operator,Working set,Memory use
MobilenetV1/MobilenetV1/Conv2d_0/Relu6,7 88,551936
MobilenetV1/MobilenetV1/Conv2d_1_depthwise/Relu6,7 33,802816
MobilenetV1/MobilenetV1/Conv2d_1_pointwise/Relu6,33 37,1204224
MobilenetV1/MobilenetV1/Conv2d_2_depthwise/Relu6,37 39,1003520
MobilenetV1/MobilenetV1/Conv2d_2_pointwise/Relu6,39 43,602112
MobilenetV1/MobilenetV1/Conv2d_3_depthwise/Relu6,43 45,802816
MobilenetV1/MobilenetV1/Conv2d_3_pointwise/Relu6,45 49,802816
MobilenetV1/MobilenetV1/Conv2d_4_depthwise/Relu6,49 51,501760
MobilenetV1/MobilenetV1/Conv2d_4_pointwise/Relu6,51 55,301056
MobilenetV1/MobilenetV1/Conv2d_5_depthwise/Relu6,55 57,401408
MobilenetV1/MobilenetV1/Conv2d_5_pointwise/Relu6,57 61,401408
MobilenetV1/MobilenetV1/Conv2d_6_depthwise/Relu6,61 63,250880
MobilenetV1/MobilenetV1/Conv2d_6_pointwise/Relu6,63 67,150528
MobilenetV1/MobilenetV1/Conv2d_7_depthwise/Relu6,67 69,200704
MobilenetV1/MobilenetV1/Conv2d_7_pointwise/Relu6,69 73,200704
MobilenetV1/MobilenetV1/Conv2d_8_depthwise/Relu6,73 75,200704
MobilenetV1/MobilenetV1/Conv2d_8_pointwise/Relu6,75 79,200704
MobilenetV1/MobilenetV1/Conv2d_9_depthwise/Relu6,79 81,200704
MobilenetV1/MobilenetV1/Conv2d_9_pointwise/Relu6,81 85,200704
MobilenetV1/MobilenetV1/Conv2d_10_depthwise/Relu6,9 85,200704
MobilenetV1/MobilenetV1/Conv2d_10_pointwise/Relu6,9 13,200704
MobilenetV1/MobilenetV1/Conv2d_11_depthwise/Relu6,13 15,200704
MobilenetV1/MobilenetV1/Conv2d_11_pointwise/Relu6,15 19,200704
MobilenetV1/MobilenetV1/Conv2d_12_depthwise/Relu6,19 21,125440
MobilenetV1/MobilenetV1/Conv2d_12_pointwise/Relu6,21 25,75264
MobilenetV1/MobilenetV1/Conv2d_13_depthwise/Relu6,25 27,100352
MobilenetV1/MobilenetV1/Conv2d_13_pointwise/Relu6,27 31,100352
MobilenetV1/Logits/AvgPool_1a/AvgPool,0 31,51200
MobilenetV1/Logits/Conv2d_1c_1x1/BiasAdd,0 1,2025
MobilenetV1/Logits/SpatialSqueeze,1 4,2002
MobilenetV1/Predictions/Reshape_1,4 87,2002
